Nr mat Nume student                                An Grupa Tip  Data     Ora intrare  Ora iesire
8613 Kamiana-70                                     2 1037  B  14.1.2009  7:30       8:43
7707 Claudiu-5                                      2 1038  L  29.11.2006  18:59       21:52
9928 Petre-32                                       2 1038  B  31.1.2005  16:5       17:53
6131 Tiberiu-38                                     2 1038  L  29.6.2011  8:43       10:25
5555 Mihaita-44                                     2 2222  B  14.5.2016  14:14       0:0
9381 Kamiana-49                                     3 1041  B  18.9.2010  18:28       19:3
9201 Alexandra-46                                   3 1041  B  10.7.2009  13:58       15:12
4026 Andreea-94                                     3 1042  B  18.12.2011  14:9       15:49
3389 Cristina-53                                    3 1043  L  28.8.2009  12:40       14:30
2310 Rodica-92                                      3 1043  L  25.4.2011  16:59       18:46
6744 Ioana-87                                       3 1046  B  1.11.2008  15:35       16:21
6577 Eliza-33                                       3 1047  B  18.6.2006  7:52       9:13
2133 Anda-4                                         3 1048  B  16.1.2009  16:14       17:14
7060 Gabriela-58                                    3 1049  L  28.1.2007  10:0       11:14
9837 Ioana-92                                       3 1049  L  14.5.2007  16:2       16:35
7129 Bogdan-62                                      3 1050  L  22.4.2005  12:0       13:19
7167 Tudor-69                                       3 1053  L  31.4.2005  14:49       16:37
8049 Laurentiu-63                                   3 1054  L  14.3.2005  19:34       20:39
1598 Dalia-90                                       3 1055  B  22.4.2010  12:17       14:2
4264 Mircea-82                                      3 1059  L  4.12.2006  9:49       10:52
9403 Camelia-16                                     4 1061  L  28.5.2005  8:44       10:22
2983 Sorina-66                                      4 1061  B  9.4.2007  14:26       16:8
5478 Gabriel-47                                     4 1062  L  24.4.2006  17:32       19:13
3818 Dalia-56                                       4 1062  L  31.11.2006  19:42       21:0
9256 Marian-99                                      4 1063  B  13.11.2007  17:19       18:50
2608 Cristina-70                                    4 1066  L  8.6.2011  8:50       9:56
4476 Ionela-38                                      4 1067  B  21.9.2009  18:35       19:41
6590 Liana-81                                       4 1067  B  23.1.2006  13:16       14:15
3438 Rodica-69                                      4 1067  B  7.11.2007  12:9       13:58
7685 Suzana-54                                      4 1068  L  24.12.2006  7:53       9:17
3244 Dana-38                                        4 1068  L  30.7.2010  12:41       13:20
9204 Tiberiu-25                                     4 1070  B  26.7.2010  10:38       11:56
4807 Maria-80                                       4 1070  L  2.2.2008  15:33       17:7
9581 Sorina-58                                      4 1070  B  22.8.2011  13:5       14:42
4144 Bogdan-62                                      4 1071  L  2.12.2005  11:35       12:53
1829 Liana-51                                       4 1073  L  5.3.2010  11:36       13:20
9112 Florentina-43                                  4 1073  L  3.2.2008  11:11       12:26
8334 Marinela-20                                    4 1075  L  29.1.2011  8:6       9:12
8576 Ruxandra-91                                    4 1076  L  26.11.2007  14:13       15:21
3263 Florin-88                                      5 1081  L  16.7.2007  9:47       11:3
2774 Ion-84                                         5 1083  B  12.9.2005  10:50       11:36
2878 Alexandru-40                                   5 1084  L  10.3.2011  16:14       18:1
2778 Tudor-71                                       5 1089  B  25.12.2005  15:45       16:51
2496 Estera-34                                      5 1089  L  30.5.2010  16:41       18:28
3910 Liviu-71                                       5 1090  B  2.9.2010  18:3       18:41
3093 Suzana-62                                      5 1092  B  19.10.2011  9:27       11:13
6491 Laurentiu-31                                   5 1093  L  27.3.2005  9:16       10:1
7300 Sorina-44                                      5 1094  B  24.1.2006  15:28       16:2
4933 Suzana-44                                      5 1094  B  31.12.2007  15:45       16:19
2908 Sorina-44                                      5 1094  L  8.10.2006  16:31       18:7
4123 Eliza-14                                       5 1094  B  3.9.2010  19:20       20:19
6527 Cristian-91                                    5 1094  L  16.3.2011  13:24       14:40
